기간,Dubai,Brent,WTI
13년02월27일,741.96,765.57,634.79
13년02월28일,728.86,,
13년03월01일,721.14,753.71,619.08
13년03월04일,713.24,749.17,613.27
13년03월05일,725.33,766.18,623.46
13년03월06일,730.48,759.33,618.28
13년03월07일,723.90,757.57,624.05
13년03월08일,728.16,757.48,628.33
13년03월11일,729.95,755.88,631.34
13년03월12일,728.75,757.48,639.28
13년03월13일,726.49,747.42,637.23
13년03월14일,721.86,755.34,642.20
13년03월15일,730.27,763.29,649.51
13년03월18일,733.30,764.51,654.41
13년03월19일,742.29,753.44,646.22
13년03월20일,731.68,759.20,649.14
13년03월21일,738.67,755.40,649.83
13년03월22일,731.07,755.86,657.92
13년03월25일,738.26,760.12,666.24
13년03월26일,735.79,765.25,674.14
13년03월27일,740.27,764.38,673.02
13년03월28일,747.00,767.58,678.35
13년04월01일,750.20,777.28,679.25
13년04월02일,760.65,776.64,681.92
13년04월03일,755.66,749.71,661.09
13년04월04일,741.08,749.53,657.34
13년04월05일,736.48,735.98,655.26
13년04월08일,731.12,741.97,661.86
13년04월09일,737.89,760.58,674.45
13년04월10일,743.08,757.83,677.96
13년04월11일,737.74,746.55,669.51
13년04월12일,721.78,732.21,648.28
13년04월15일,706.33,714.22,631.13
13년04월16일,691.93,706.79,627.63
13년04월17일,690.84,687.95,610.41
13년04월18일,678.43,695.41,615.44
13년04월19일,692.25,703.26,621.11
13년04월22일,691.64,706.27,624.45
13년04월23일,692.56,707.72,629.20
13년04월24일,701.71,716.78,644.21
13년04월25일,705.23,727.97,659.19
13년04월26일,708.13,722.77,651.59
13년04월29일,705.42,724.26,659.30
13년04월30일,705.90,713.50,651.40
13년05월01일,,696.63,634.46
13년05월02일,678.51,713.03,651.61
13년05월03일,690.45,720.68,661.33
13년05월06일,705.39,,
13년05월07일,702.77,,
13년05월08일,699.74,717.98,664.86
13년05월09일,692.70,714.73,659.45
13년05월10일,693.49,710.44,656.64
13년05월13일,695.60,713.08,660.03
13년05월14일,701.07,719.30,660.48
13년05월15일,692.50,723.48,658.03
13년05월16일,701.00,727.06,666.54
13년05월17일,706.47,732.94,672.57
13년05월20일,711.82,734.53,677.82
13년05월21일,713.19,730.77,676.27
13년05월22일,702.73,718.20,659.96
13년05월23일,690.45,716.76,659.46
13년05월24일,,725.46,665.45
13년05월27일,705.46,728.09,
13년05월28일,710.37,737.61,672.36
13년05월29일,712.46,725.13,659.29
13년05월30일,705.27,726.97,665.93
13년05월31일,701.17,712.46,652.70
13년06월03일,691.90,723.22,662.20
13년06월04일,701.12,732.55,662.09
13년06월05일,706.59,727.05,661.43
13년06월06일,705.74,731.07,668.63
13년06월07일,706.78,736.07,676.02
13년06월10일,703.25,726.67,669.49
13년06월11일,708.64,727.65,674.08
13년06월12일,712.52,737.97,683.71
13년06월13일,711.09,741.75,687.96
13년06월14일,729.05,756.10,698.43
13년06월17일,732.90,748.44,693.80
13년06월18일,724.68,752.21,698.43
13년06월19일,732.66,754.19,698.19
13년06월20일,721.70,727.97,679.86
13년06월21일,718.43,726.49,674.51
13년06월24일,707.53,735.29,691.83
13년06월25일,719.29,736.97,693.74
13년06월26일,719.00,741.16,696.25
13년06월27일,716.92,745.94,704.08
13년06월28일,725.90,738.77,698.27
13년07월01일,714.76,741.99,705.90
13년07월02일,712.74,743.70,712.24
13년07월03일,721.49,753.63,721.42
13년07월04일,729.41,757.17,
13년07월05일,731.16,772.54,740.27
13년07월08일,740.67,771.47,740.67
13년07월09일,748.12,780.78,749.78
13년07월10일,746.93,781.28,766.95
13년07월11일,745.73,771.66,751.46
13년07월12일,732.10,769.89,742.29
13년07월15일,735.21,770.08,750.53
13년07월16일,736.68,772.48,748.47
13년07월17일,731.22,764.44,749.45
13년07월18일,738.02,764.46,759.82
13년07월19일,743.96,762.88,762.74
13년07월22일,744.41,764.26,755.50
13년07월23일,737.51,762.76,754.39
13년07월24일,736.96,752.76,740.12
13년07월25일,732.36,754.37,739.23
13년07월26일,734.54,753.16,735.80
13년07월29일,729.88,751.34,731.06
13년07월30일,730.46,746.02,719.29
13년07월31일,730.49,754.38,735.68
13년08월01일,738.65,771.40,759.78
13년08월02일,746.68,768.48,754.30
13년08월05일,745.24,769.45,754.30
13년08월06일,733.46,759.58,739.35
13년08월07일,727.38,752.96,731.45
13년08월08일,,749.72,726.66
13년08월09일,,758.02,742.26
13년08월12일,726.93,762.04,742.04
13년08월13일,740.04,768.81,747.88
13년08월14일,740.61,773.90,750.37
13년08월15일,751.36,780.29,753.74
13년08월16일,751.12,777.39,756.68
13년08월19일,753.22,770.75,751.12
13년08월20일,745.20,771.61,735.25
13년08월21일,753.08,774.89,732.83
13년08월22일,756.79,772.90,738.65
13년08월23일,762.05,785.25,752.57
13년08월26일,760.87,778.80,744.97
13년08월27일,754.39,800.60,763.14
13년08월28일,783.59,818.40,772.71
13년08월29일,793.85,809.09,764.41
13년08월30일,781.06,796.64,752.20
13년09월02일,761.44,797.94,
13년09월03일,762.60,803.36,753.78
