연,반기,유가
12,1,715.8375380092592
13,0,708.731067274592
13,1,723.1065032601782
14,0,692.7838479262673
14,1,580.7121589452481
15,0,389.10009289087685
15,1,335.2562837865776
16,0,291.733384375
16,1,338.6783628104179
17,0,368.82796125000004
17,1,383.52372708256433
18,0,461.55624934811834
18,1,490.00961328487784
19,0,454.3339585250481
19,1,448.3695670324428
20,0,300.7495798454301
20,1,313.85782740935116
21,0,448.0783619083905
21,1,553.128212594697
22,0,799.8333504349157
