■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2022-07-27,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2022   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
41,앰뷸런스,2022-04-06,"1,156,403,110",0.2%,"117,512","1,033","23,386",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
42,로스트 시티,2022-04-20,"1,023,084,850",0.2%,"113,186",835,"19,963",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
43,서울괴담,2022-04-27,"1,076,281,490",0.2%,"112,725",474,"9,027",한국,한국,메가박스중앙(주)플러스엠
44,스텔라,2022-04-06,"871,870,300",0.1%,"97,312",690,"17,698",한국,한국,씨제이 씨지브이(CJ CGV)(주)
45,안테벨룸,2022-02-23,"899,691,250",0.2%,"95,983",638,"14,011",미국,미국,(주)올스타엔터테인먼트
46,스펜서,2022-03-16,"781,792,830",0.1%,"83,047",730,"16,507",영국,영국,"(주)영화특별시에스엠씨,그린나래미디어(주)"
47,엘비스,2022-07-13,"863,918,150",0.1%,"80,308",665,"8,965",미국,미국,워너브러더스 코리아(주)
48,인민을 위해 복무하라,2022-02-23,"709,334,190",0.1%,"79,105",598,"12,221",한국,한국,(주)제이앤씨미디어그룹
49,빅샤크4: 바다공룡 대모험,2022-07-06,"534,894,280",0.1%,"60,376",455,"3,288",중국,중국,와이드 릴리즈(주)
50,드라이브 마이 카,2021-12-23,"549,320,780",0.1%,"58,803",92,"4,974",일본,일본,(주)트리플픽쳐스
51,더 킬러: 죽어도 되는 아이,2022-07-13,"586,597,160",0.1%,"57,388",314,"4,044",한국,한국,"(주)아이에이치큐,(주)영화사 륙,(주)씨네필운"
52,355,2022-02-09,"418,026,590",0.1%,"49,098",540,"9,796",미국,미국,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
53,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2022-03-09,"471,587,590",0.1%,"48,436",459,"5,557",일본,일본,(주)스마일이엔티
54,세븐틴 파워 오브 러브 : 더 무비,2022-04-20,"967,402,500",0.2%,"48,383",151,"2,897",한국,한국,"씨제이포디플렉스 주식회사,CGV ICECON"
55,루이스 웨인: 사랑을 그린 고양이 화가,2022-04-06,"410,431,110",0.1%,"43,306",530,"9,923",미국,미국,(주)씨제이이엔엠
56,나의 촛불,2022-02-10,"405,835,950",0.1%,"42,123",294,"4,337",한국,한국,트윈플러스파트너스(주)
57,나이트메어 앨리,2022-02-23,"401,511,820",0.1%,"40,679",461,"6,400",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
58,애프터 양,2022-06-01,"375,331,690",0.1%,"38,707",161,"3,126",미국,미국,"(주)영화특별시에스엠씨,주식회사 왓챠"
59,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"361,857,120",0.1%,"37,249",299,"4,156",일본,일본,워터홀컴퍼니(주)
60,민스미트 작전,2022-05-11,"346,200,480",0.1%,"36,984",459,"6,632",미국,미국,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
61,듄,2021-10-20,"525,166,900",0.1%,"36,868",78,"1,553",미국,미국,워너브러더스 코리아(주)
62,배니싱: 미제사건,2022-03-30,"306,888,110",0.1%,"36,272",561,"7,985",프랑스,프랑스,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
63,어나더 라운드,2022-01-19,"335,050,390",0.1%,"36,126",175,"3,443",기타,기타,(주)엣나인필름
64,봄날,2022-04-27,"239,876,830",0.0%,"34,236",455,"5,615",한국,한국,(주)콘텐츠판다
65,뒤틀린 집,2022-07-13,"323,101,100",0.1%,"34,126",156,"2,068",한국,한국,(주)스튜디오디에이치엘
66,"아치의 노래, 정태춘",2022-05-18,"313,367,210",0.1%,"32,864",149,"2,514",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
67,클리포드 더 빅 레드 독,2022-01-12,"267,143,090",0.0%,"30,248",356,"3,420",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
68,극장판 윌벤져스 : 수상한 캠핑 대소동,2022-06-23,"292,927,800",0.1%,"29,422",110,"1,093",한국,한국,(주)대교 미디어콘텐츠사업본부
69,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,2022-02-17,"239,104,800",0.0%,"28,704",236,"3,907",영국,영국,와이드 릴리즈(주)
70,중경삼림,1995-09-02,"268,166,820",0.0%,"28,052",120,"2,380",홍콩,홍콩,(주)디스테이션
71,그레이 맨,2022-07-13,"254,573,560",0.0%,"26,382",220,"2,841",미국,미국,씨제이 씨지브이(CJ CGV)(주)
72,우연과 상상,2022-05-04,"256,219,440",0.0%,"25,955",56,"2,464",일본,일본,"그린나래미디어(주),(주)영화사 안다미로"
73,블랙라이트,2022-03-09,"228,699,190",0.0%,"25,401",521,"6,048",미국,미국,(주)퍼스트런
74,안녕하세요,2022-05-25,"183,017,360",0.0%,"25,140",297,"2,790",한국,한국,(주)디스테이션
75,시라노,2022-02-23,"203,932,200",0.0%,"24,751",195,"3,688",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
76,레지던트 이블: 라쿤시티,2022-01-19,"216,277,970",0.0%,"24,722",276,"4,927",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
77,어부바,2022-05-11,"188,918,470",0.0%,"24,308",327,"3,509",한국,한국,(주)트리플픽쳐스
78,만년이 지나도 변하지 않는 게 있어,2022-02-09,"204,705,110",0.0%,"24,278",297,"3,281",대만,대만,"그린나래미디어(주),(주)영화사벌집"
79,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,"341,407,500",0.1%,"22,726",34,525,한국,한국,씨제이 씨지브이(CJ CGV)(주)
80,매트릭스: 리저렉션,2021-12-22,"198,212,640",0.0%,"22,413",379,"2,147",미국,미국,워너브러더스 코리아(주)
81,카시오페아,2022-06-01,"197,464,300",0.0%,"22,220",175,"1,826",한국,한국,(주)트리플픽쳐스
82,리코리쉬 피자,2022-02-16,"213,876,700",0.0%,"21,188",222,"3,650",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
83,말임씨를 부탁해,2022-04-13,"155,380,670",0.0%,"20,467",197,"2,185",한국,한국,(주)씨네필운
84,큐어,2022-07-06,"216,370,660",0.0%,"20,241",55,"1,246",일본,일본,M&M 인터내셔널
85,엄마,2022-05-11,"169,848,800",0.0%,"19,485",190,"2,703",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
86,몬스터 아카데미,2022-04-27,"146,864,000",0.0%,"17,216",209,"1,475",기타,기타,와이드 릴리즈(주)
87,광대: 소리꾼,2022-02-24,"125,103,170",0.0%,"16,367",116,"1,055",한국,한국,트윈플러스파트너스(주)
88,룸 쉐어링,2022-06-22,"133,047,480",0.0%,"15,904",122,"1,475",한국,한국,"주식회사 엔픽플,트윈플러스파트너스(주)"
89,컴온 컴온,2022-06-30,"144,381,200",0.0%,"15,446",113,"1,875",미국,미국,(주)스튜디오디에이치엘
90,몬스터 싱어: 매직 인 파리,2022-05-26,"128,787,720",0.0%,"15,187",266,"1,376",프랑스,프랑스,(주)다날엔터테인먼트
91,메리 미,2022-03-16,"99,754,800",0.0%,"15,164",179,"1,944",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
92,한산: 용의 출현,2022-07-27,"170,221,500",0.0%,"14,934",25,75,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
93,우리가 사랑이라고 믿는 것,2022-02-24,"135,121,030",0.0%,"14,601",44,"1,546",영국,영국,(주)티캐스트
94,피는 물보다 진하다,2022-05-25,"90,700,500",0.0%,"14,201",78,981,한국,한국,(주)이놀미디어
95,벨파스트,2022-03-23,"129,566,070",0.0%,"14,152",272,"3,536",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
96,청춘적니,2022-01-12,"116,128,670",0.0%,"14,012",112,"1,689",중국,중국,(주)다자인소프트
97,뜨거운 피: 디 오리지널,2022-05-26,"111,999,200",0.0%,"13,854",59,180,한국,한국,"(주)스튜디오디에이치엘,(주)키다리스튜디오"
98,니얼굴,2022-06-23,"120,406,600",0.0%,"13,388",65,"1,255",한국,한국,(주)영화사 진진
99,썸머 필름을 타고!,2022-07-20,"132,401,420",0.0%,"13,194",65,677,일본,일본,"(주)싸이더스,(주)블루라벨픽쳐스"
100,도쿄 리벤저스,2022-01-19,"128,177,240",0.0%,"13,122",216,"2,339",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
101,프리! 더 파이널 스트로크 전편,2022-01-20,"127,488,230",0.0%,"12,996",77,"1,704",일본,일본,(주)애니플러스
102,오마주,2022-05-26,"99,180,500",0.0%,"12,943",133,"1,483",한국,한국,트윈플러스파트너스(주)
103,프리! 더 파이널 스트로크 후편,2022-06-30,"129,898,920",0.0%,"12,593",83,"1,255",일본,일본,(주)애니플러스
104,특수요원 빼꼼,2022-06-01,"109,893,400",0.0%,"12,511",115,734,중국,중국,"(주)띵크,예지림엔터테인먼트,(주)인터파크"
105,불도저에 탄 소녀,2022-04-07,"104,318,240",0.0%,"12,482",203,"2,175",한국,한국,트윈플러스파트너스(주)
106,뱅드림! 팝핀' 드림!,2022-03-24,"121,601,460",0.0%,"12,386",105,"1,987",일본,일본,(주)애니플러스
107,피그,2022-02-23,"107,541,970",0.0%,"11,726",113,"1,612",미국,미국,판씨네마(주)
108,하늘의 푸르름을 아는 사람이여,2022-03-16,"104,358,500",0.0%,"11,688",121,"1,767",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
109,장민호 드라마 최종회,2022-01-24,"223,662,200",0.0%,"11,687",81,839,한국,한국,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON"
110,토르: 마법 검의 전설,2022-05-04,"90,551,300",0.0%,"11,583",201,924,독일,독일,(주)박수엔터테인먼트
111,코다,2021-08-31,"106,117,060",0.0%,"11,565",64,"1,792",프랑스,프랑스,판씨네마(주)
112,비상선언,2022-08-03,"93,638,000",0.0%,"11,490",27,54,한국,한국,(주)쇼박스
113,해리 포터와 불사조 기사단,2007-07-11,"111,181,470",0.0%,"11,478",86,"1,282",미국,미국,워너브러더스 코리아(주)
114,엔칸토: 마법의 세계,2021-11-24,"102,875,120",0.0%,"11,438",160,908,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
115,실종,2022-06-15,"105,007,200",0.0%,"11,400",67,"1,039",일본,일본,(주)디스테이션
116,더 컨트랙터,2022-04-28,"90,330,780",0.0%,"11,365",161,"1,266",미국,미국,(주)제이앤씨미디어그룹
117,BIFAN2022 부천 초이스: 단편 1,,"55,760,000",0.0%,"11,152",1,63,기타,기타,
118,나를 만나는 길,2022-05-12,"101,907,800",0.0%,"11,033",53,948,영국,영국,(주)티캐스트
119,화양연화,2000-10-20,"103,941,570",0.0%,"10,575",88,"1,566",홍콩,"홍콩,프랑스",(주)디스테이션
120,소설가의 영화,2022-04-21,"95,038,570",0.0%,"10,426",66,"1,785",한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
121,킹 리차드,2022-03-24,"99,918,100",0.0%,"10,266",156,"2,233",미국,미국,워너브러더스 코리아(주)
122,미싱타는 여자들,2022-01-20,"83,357,720",0.0%,"10,240",39,964,한국,한국,(주)영화사 진진
123,EBS 댄스파티!,,"60,640,000",0.0%,"10,207",21,218,한국,한국,(주)에픽캔
124,모어,2022-06-23,"86,345,900",0.0%,"10,149",54,"1,045",한국,한국,(주)엣나인필름
125,극장판 시그널,2022-03-31,"61,115,200",0.0%,"10,041",90,"1,148",일본,일본,트윈플러스파트너스(주)
126,멘,2022-07-13,"91,081,960",0.0%,"10,014",96,"1,038",미국,미국,판씨네마(주)
127,체리마호: 30살까지 동정이면 마법사가 될 수 있대,2022-07-13,"109,870,300",0.0%,"9,968",56,886,일본,일본,(주)영화사 그램
128,프랑스,2022-01-13,"90,984,190",0.0%,"9,650",54,"1,238",프랑스,프랑스,M&M 인터내셔널
129,신데렐라 2: 마법에 걸린 왕자,2021-12-22,"84,516,570",0.0%,"9,549",190,917,미국,미국,(주)박수엔터테인먼트
130,매스,2022-05-18,"88,134,300",0.0%,"9,486",68,"1,071",미국,미국,오드
131,패러렐 마더스,2022-03-31,"86,375,800",0.0%,"9,370",88,"1,316",스페인,스페인,(주)스튜디오디에이치엘
132,로스트 도터,2022-07-14,"85,468,000",0.0%,"8,993",66,848,미국,미국,"(주)영화특별시에스엠씨,그린나래미디어(주)"
133,쿠폰의 여왕,2022-04-27,"64,732,700",0.0%,"8,896",180,"1,476",미국,미국,"(주)영화특별시에스엠씨,주식회사 왓챠"
134,베르네 부인의 장미정원,2022-06-09,"79,421,400",0.0%,"8,707",37,711,프랑스,프랑스,찬란
135,위대한 침묵,2022-06-29,"81,124,670",0.0%,"8,634",48,585,한국,한국,"(주)지티지그룹,와이드 릴리즈(주)"
136,쓰리: 아직 끝나지 않았다,2022-04-21,"59,127,000",0.0%,"8,573",77,579,한국,한국,필름다빈
137,"파리, 13구",2022-05-12,"83,333,760",0.0%,"8,516",59,"1,086",프랑스,프랑스,"찬란,(주)하이스트레인저"
138,비욘드 라이브 더 무비 : 샤이니 월드,2022-06-29,"133,198,500",0.0%,"8,325",13,172,한국,한국,씨제이 씨지브이(CJ CGV)(주)
139,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,2021-12-09,"82,748,600",0.0%,"8,178",34,795,일본,일본,(주)애니플러스
140,경아의 딸,2022-06-16,"56,294,100",0.0%,"8,134",53,915,한국,한국,㈜인디스토리
141,인어가 잠든 집,2022-01-28,"70,331,730",0.0%,"7,819",90,"1,031",일본,일본,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
142,램,2021-12-29,"79,252,320",0.0%,"7,765",118,"1,002",기타,기타,오드
143,유체이탈자,2021-11-24,"42,190,000",0.0%,"7,761",6,91,한국,한국,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠"
144,덩케르크,2017-07-20,"126,035,500",0.0%,"7,724",17,182,미국,"미국,영국",워너브러더스 코리아(주)
145,뮤지컬 킹키부츠 라이브,2022-04-28,"132,475,000",0.0%,"7,379",47,373,영국,영국,CGV ICECON
146,레벤느망,2022-03-10,"65,394,170",0.0%,"7,247",64,"1,083",프랑스,프랑스,"(주)영화특별시에스엠씨,주식회사 왓챠"
147,에펠,2022-03-23,"66,593,890",0.0%,"7,209",182,"1,361",프랑스,프랑스,"주식회사 블루필름웍스,(주)플레이그램"
148,극장판 금빛 모자이크 땡큐!!,2022-03-09,"35,868,000",0.0%,"7,171",60,653,일본,일본,메가박스중앙(주)
149,이공삼칠,2022-06-08,"69,523,820",0.0%,"7,141",89,939,한국,한국,(주)씨네필운
150,에이핑크 스페셜 무비 : 혼,,"34,988,500",0.0%,"6,995",36,503,한국,한국,씨제이 씨지브이(CJ CGV)(주)
151,오늘부터 우리는!!,2022-04-15,"35,193,700",0.0%,"6,699",21,291,일본,일본,(주)미디어캐슬
152,고양이들의 아파트,2022-03-17,"58,285,970",0.0%,"6,646",75,"1,095",한국,한국,"(주)엣나인필름,(주)메타플레이"
