■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2022-07-27,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2022   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
447,원탁의 기사,,"714,000",0.0%,357,1,12,미국,미국,
449,그린 나이트,2021-08-05,"3,562,600",0.0%,356,3,48,미국,미국,(주)팝엔터테인먼트
450,아이돌레시피,2022-03-17,"2,969,000",0.0%,353,11,77,한국,한국,(주)드림팩트엔터테인먼트
451,아파트 열쇠를 빌려드립니다,,"749,000",0.0%,351,1,16,미국,미국,
452,이조 여인잔혹사,1969-05-02,"350,000",0.0%,350,1,12,한국,한국,
452,숏버스 배우행,2021-12-30,"3,619,400",0.0%,350,12,86,한국,한국,"언더식스티,(주)퍼니콘"
452,귀향,2006-09-21,"2,553,000",0.0%,350,2,39,스페인,스페인,"해피송,(주)스폰지이엔티,(주)홈초이스"
455,"천년의 노래, 리버스",2022-01-13,"3,224,300",0.0%,349,10,49,한국,한국,(주)이놀미디어
455,보리스 고두노프,2022-01-04,"8,252,000",0.0%,349,6,46,미국,미국,(주) 인스터 글로벌
457,어쌔신 트랩,2022-07-07,"1,700,000",0.0%,340,5,17,이탈리아,이탈리아,(주)씨네마블랙
458,가무악칠채,2022-03-17,"2,890,000",0.0%,337,10,43,한국,한국,(주)케빈앤컴퍼니
459,티코,,"802,000",0.0%,336,1,9,이탈리아,"이탈리아,프랑스",
460,분노,2017-03-30,"2,398,000",0.0%,334,5,62,일본,일본,메가박스중앙(주)플러스엠
460,트로트는 인생이다,2022-01-27,"3,040,100",0.0%,334,8,70,한국,한국,시네마 뉴원
460,로맨스 빠빠,1960-01-28,"794,000",0.0%,334,1,15,한국,한국,
463,세상을 바꾼 변호인,2019-06-13,"2,437,000",0.0%,333,2,4,미국,미국,CGV아트하우스
464,지옥의 영웅들,,"662,000",0.0%,331,1,12,미국,미국,
464,모감보,,"712,500",0.0%,331,1,15,미국,미국,
464,나쁜 교육,2004-09-17,"2,729,000",0.0%,331,2,43,스페인,스페인,"해피송,(주)스폰지이엔티,(주)홈초이스"
467,같은 속옷을 입는 두 여자,,"1,840,000",0.0%,327,1,4,한국,한국,찬란
467,심장소리,,"2,421,000",0.0%,327,1,2,한국,한국,
469,풀타임,2022-08-18,"3,474,000",0.0%,325,1,2,프랑스,프랑스,주식회사 슈아픽처스
470,인터멧조,,"1,050,000",0.0%,320,1,12,미국,미국,
471,멋진 세계,2022-08-11,"2,544,000",0.0%,318,2,2,일본,일본,(주)엣나인필름
472,가버나움,2019-01-24,"1,549,000",0.0%,317,1,6,기타,기타,"그린나래미디어(주),플레이리스트(주)"
473,제미나이: 지구 최후의 날,2022-06-09,"2,170,000",0.0%,310,5,31,러시아,러시아,(주)누리픽쳐스
473,센티그레이드,2022-06-16,"1,550,000",0.0%,310,5,31,미국,미국,(주)비싸이드 픽쳐스
475,낙소스 섬의 아리아드네,2022-07-05,"8,231,500",0.0%,309,6,39,미국,미국,(주) 인스터 글로벌
476,어페어 투 리멤버,,"575,500",0.0%,306,1,28,미국,미국,
477,애정,,"610,000",0.0%,305,1,9,미국,미국,
478,우주에서 가장 밝은 지붕,2022-03-17,"1,500,000",0.0%,300,2,15,일본,일본,트윈플러스파트너스(주)
478,감쪽같은 그녀,2019-12-04,"1,500,000",0.0%,300,1,3,한국,한국,메가박스중앙(주)플러스엠
478,오두막,2017-04-20,"2,684,000",0.0%,300,1,3,미국,미국,판씨네마(주)
481,듣보인간의 생존신고,,"1,796,000",0.0%,296,1,4,한국,한국,
482,걸어도 걸어도,2009-06-18,"2,622,000",0.0%,295,2,31,일본,일본,(주)영화사 진진
483,모던 타임즈,1988-07-02,"587,000",0.0%,291,1,16,미국,미국,(주)엣나인필름
483,키다리 아저씨,,"582,000",0.0%,291,1,9,미국,미국,
485,아들과 연인,,"688,000",0.0%,289,1,9,영국,영국,
486,눈감은 여름,2022-06-30,"1,445,000",0.0%,288,6,22,베트남,베트남,주식회사 콘텐츠플레이
487,블러드써스티,2022-01-27,"1,974,000",0.0%,282,5,33,캐나다,캐나다,(주)블루라벨픽쳐스
488,그들은 희생양이다,,"567,000",0.0%,281,1,9,미국,미국,
489,크루엘라,2021-05-26,"2,928,800",0.0%,280,11,61,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
490,5인의 해병,,"586,000",0.0%,279,1,25,한국,한국,
491,4등,2016-04-13,"2,918,000",0.0%,278,1,3,한국,한국,"(주)프레인글로벌,CGV아트하우스"
492,디어 에반 핸슨,2021-11-17,"1,956,000",0.0%,276,2,18,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
493,살인광시대,1990-09-29,"550,000",0.0%,275,1,12,미국,미국,"(주)엣나인필름,유나이티드 아티스트"
493,로즈마리,,"555,000",0.0%,275,1,9,미국,미국,
495,흑권,1973-09-09,"546,000",0.0%,273,1,9,한국,한국,
495,에우리디체,2022-03-01,"7,271,900",0.0%,273,6,45,미국,미국,(주) 인스터 글로벌
497,뉴욕의 왕,1990-12-12,"538,000",0.0%,269,1,9,미국,미국,(주)엣나인필름
497,"살로, 소돔의 120일",,"1,830,000",0.0%,269,1,5,이탈리아,"이탈리아,프랑스",
499,시마론,,"591,500",0.0%,268,1,21,,,
500,마스터,2013-07-11,"2,256,000",0.0%,267,3,43,미국,미국,(주)영화사 진진
501,진홍의 평원,,"528,000",0.0%,264,1,18,영국,영국,
501,긴 하루,2021-12-30,"2,551,400",0.0%,264,11,79,한국,한국,하준사
501,위대한 독재자,1988-11-19,"528,000",0.0%,264,1,9,미국,미국,"(주)엣나인필름,㈜영화사 백두대간"
501,데쓰 캘린더,2022-06-23,"2,492,500",0.0%,264,17,115,프랑스,프랑스,THE 픽쳐스
505,젊은 알바의 맛,2022-05-06,"1,291,000",0.0%,261,20,21,한국,한국,노바엔터테인먼트
506,검스녀 젊은엄마,2022-03-08,"1,315,000",0.0%,260,20,22,한국,한국,노바엔터테인먼트
506,라임라이트,1989-08-26,"535,000",0.0%,260,1,12,미국,미국,"(주)엣나인필름,유나이티드 아티스트"
508,맛있는 여동생,2022-01-11,"1,315,000",0.0%,259,20,20,한국,한국,(주)로드하우스
509,레전더리 콘서트: 헤르베르트 폰 카라얀,2020-11-01,"5,500,000",0.0%,258,6,24,독일,독일,(주)케빈앤컴퍼니
510,잡식가족의 딜레마,2015-05-07,"3,376,000",0.0%,257,1,3,한국,한국,(주)시네마달
511,카르멘,2021-04-03,"8,668,350",0.0%,256,5,43,이탈리아,이탈리아,일미디어
511,"그 겨울, 나는",,"1,501,000",0.0%,256,1,4,한국,한국,
511,나바론 요새,1974-07-20,"574,500",0.0%,256,1,11,미국,"미국,영국",
514,브로큰 임브레이스,2009-11-19,"1,919,000",0.0%,255,2,44,스페인,스페인,"해피송,유니버설픽쳐스인터내셔널 코리아(유),(주)홈초이스"
515,밴드스탠드,2022-02-24,"5,064,000",0.0%,254,17,99,미국,미국,(주)위즈온센
515,황금광 시대,1990-02-17,"513,000",0.0%,254,1,16,미국,미국,(주)엣나인필름
517,아사코,2019-03-14,"2,190,000",0.0%,251,2,38,일본,일본,(주)이수C&E
518,위대한 유산,,"500,000",0.0%,250,1,9,영국,영국,
518,예수는 역사다,2017-07-13,"1,250,000",0.0%,250,2,2,미국,미국,(재)CBS
518,울렁울렁 울렁대는 가슴안고,,"750,000",0.0%,250,1,10,한국,한국,
521,뮤직맨,,"508,000",0.0%,249,1,8,미국,미국,
522,"다녀와요, 다녀왔습니다",2022-04-21,"2,175,000",0.0%,247,9,40,한국,한국,(주)케빈앤컴퍼니
522,짬뽕비권,2022-02-02,"1,594,000",0.0%,247,9,48,한국,한국,(주)콘텐츠판다
524,두개의 눈,2022-06-23,"1,987,500",0.0%,244,9,43,한국,한국,(주)이놀미디어
525,원더풀 라이프,2001-12-09,"2,426,000",0.0%,241,1,11,일본,일본,"(주)영화사 안다미로,(주)라이크콘텐츠,㈜영화사 백두대간"
526,쥬라기 리턴즈,2022-05-24,"1,200,000",0.0%,240,5,12,영국,영국,(주)박수엔터테인먼트
527,자이언트,1974-02-28,"536,500",0.0%,239,1,8,미국,미국,
528,아나스타샤,,"476,000",0.0%,238,1,15,미국,미국,
529,날으는 해병대,,"472,000",0.0%,236,1,18,미국,미국,
530,바닷마을 다이어리,2015-12-17,"1,960,000",0.0%,232,1,10,일본,일본,(주)티캐스트
531,하이 스피드! –프리! 스타팅 데이즈-,2016-03-24,"1,490,200",0.0%,231,1,15,일본,일본,(주)박수엔터테인먼트
531,쏴!쏴!쏴!쏴!탕,2022-05-18,"1,457,000",0.0%,231,4,26,한국,한국,상남영화제작소
531,공각기동대,2002-04-12,"2,438,600",0.0%,231,3,39,일본,일본,"(주)디스테이션,길벗영화(주)"
534,다키스트 아워,2018-01-17,"2,300,000",0.0%,230,1,2,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
535,아웃브레이크 호텔,2022-02-17,"1,140,000",0.0%,228,5,19,캐나다,캐나다,(주)씨네마블랙
536,BIFAN2022 엑스라지 2,,"1,135,000",0.0%,227,1,3,기타,기타,
536,부에노스 아이레스 제로 디그리,,"2,459,400",0.0%,227,3,36,홍콩,홍콩,(주)디스테이션
538,"안녕, 용문객잔",,"1,641,000",0.0%,226,1,2,대만,대만,
539,좀비 살아있다,2022-01-20,"899,000",0.0%,225,26,78,미국,미국,(유)조이앤시네마
540,레미: 집 없는 아이,2020-05-28,"1,990,000",0.0%,223,2,3,프랑스,프랑스,(주)팝엔터테인먼트
540,피부를 판 남자,2021-12-16,"1,888,410",0.0%,223,6,60,기타,기타,판씨네마(주)
542,오프닝 나이트,,"1,504,000",0.0%,221,1,6,미국,미국,
543,마지막부자 최준,2022-05-06,"2,640,000",0.0%,220,1,1,한국,한국,주식회사 케이엠스타
543,카사네 : 빼앗는 얼굴,2022-05-05,"2,076,000",0.0%,220,6,53,일본,일본,(주)까멜리아이엔티
545,그레타 툰베리,2021-06-17,"1,744,000",0.0%,218,2,2,미국,미국,(주)영화사 진진
546,이상한 나라의 아빠,2022-06-22,"2,695,200",0.0%,217,9,56,한국,한국,(주)더존크리에이티브
547,스팔타카스,1974-01-23,"391,000",0.0%,216,1,10,미국,미국,
548,파리의 연인,,"362,000",0.0%,215,1,16,미국,미국,
549,웬디와 루시,,"2,120,500",0.0%,211,1,18,미국,미국,
550,몽키 비지니스,,"420,000",0.0%,210,1,9,미국,미국,
551,붉은 사막,,"1,354,000",0.0%,209,1,8,이탈리아,"이탈리아,프랑스",
552,임파서블 러브,2022-07-28,"2,036,000",0.0%,208,1,2,프랑스,프랑스,(주)디오시네마
552,파이어 셧 업 인 마이 본즈,2022-02-01,"5,506,100",0.0%,208,6,41,미국,미국,(주) 인스터 글로벌
554,키즈 리턴,2000-09-28,"2,314,000",0.0%,207,1,9,일본,일본,
555,미녀와 야수,,"412,000",0.0%,206,1,16,프랑스,프랑스,
556,행복을 전하는 편지,2022-04-13,"1,140,570",0.0%,203,9,87,러시아,러시아,(주)히스토리필름
557,"조제, 호랑이 그리고 물고기들",2021-03-31,"1,485,530",0.0%,202,3,18,일본,일본,(주)팝엔터테인먼트
557,라이브 플래쉬,1999-10-09,"1,323,000",0.0%,202,2,36,스페인,스페인,"해피송,(주)홈초이스"
559,순응자,2016-01-28,"1,707,500",0.0%,201,1,12,이탈리아,"이탈리아,프랑스,독일",㈜영화사 백두대간
560,피닉스,2021-07-22,"1,355,000",0.0%,200,1,13,독일,독일,M&M 인터내셔널
560,피어: 마지막 생존자,2021-12-31,"1,000,000",0.0%,200,1,5,미국,미국,(주)제이브로
560,어웨이,2021-08-04,"2,000,000",0.0%,200,3,3,기타,기타,(주)씨네필운
560,아이 캔 스피크,2017-09-21,"2,000,000",0.0%,200,1,4,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
560,황태자의 첫사랑,,"405,000",0.0%,200,1,6,미국,미국,
565,레닌그라드 카우보이 미국에 가다,1996-05-18,"1,165,000",0.0%,196,1,6,핀란드,핀란드,
566,케인호의 반란,,"388,000",0.0%,194,1,9,미국,미국,
566,파계,,"300,000",0.0%,194,1,12,미국,미국,
568,성숙의 20세,,"384,000",0.0%,192,1,6,미국,미국,
568,퀴리부인,,"402,000",0.0%,192,1,15,미국,미국,
568,사냥꾼의 밤,,"384,000",0.0%,192,1,6,미국,미국,
571,천국에서 무덤까지,2022-04-07,"1,890,800",0.0%,191,12,92,영국,영국,예지림엔터테인먼트
572,태극기 휘날리며,2004-02-05,"1,250,000",0.0%,190,1,1,한국,한국,"(주)다자인소프트,(주)쇼박스"
572,명색이 아프레걸,2022-05-26,"1,886,500",0.0%,190,11,58,한국,한국,(주)케빈앤컴퍼니
572,쇼처럼 즐거운 인생은 없다,,"380,000",0.0%,190,1,6,미국,미국,
572,밀라노 두오모 콘서트,2022-01-07,"6,469,200",0.0%,190,6,42,이탈리아,이탈리아,일미디어
572,원한의 도곡리 다리,,"415,000",0.0%,190,1,15,미국,미국,
577,무기여 잘 있거라,1974-01-01,"425,500",0.0%,189,1,14,미국,미국,
577,멋쟁이,,"383,000",0.0%,189,1,12,미국,미국,
577,카라멜,2008-09-04,"189,000",0.0%,189,1,3,프랑스,프랑스,위드시네마
580,로그북,2021-11-24,"1,992,000",0.0%,188,2,15,한국,한국,시네마 뉴원
580,북북서로 진로를 돌려라,,"639,000",0.0%,188,1,12,미국,미국,
582,더 파더,2021-04-07,"1,375,000",0.0%,187,1,21,영국,영국,판씨네마(주)
583,초록물고기,1997-02-07,"1,379,000",0.0%,186,1,3,한국,한국,(주)시네마서비스
584,공포분자,2020-09-17,"1,435,000",0.0%,185,2,22,기타,기타,(주)에이썸엔터테인먼트
584,SISFF2022 국제단편경쟁 1,,"1,110,000",0.0%,185,1,2,기타,기타,
586,구름은 흘러도,,"468,000",0.0%,184,1,9,한국,한국,
587,포크 촙 힐,,"401,500",0.0%,182,1,15,미국,미국,
587,그 여름 가장 조용한 바다,2004-08-13,"2,046,000",0.0%,182,2,8,일본,일본,"(주)영화사 진진,(주)스폰지이엔티"
587,기생충,2019-05-30,"1,847,700",0.0%,182,8,48,한국,한국,(주)씨제이이엔엠
590,곡녀,2022-03-31,"1,616,200",0.0%,181,7,66,한국,한국,시네마 뉴원
591,데이 투 다이,,"900,000",0.0%,180,5,9,미국,미국,"주식회사 풍경소리,(주)타임앤드스페이스"
591,잠입,,"1,800,000",0.0%,180,1,1,덴마크,덴마크,
591,웰컴 투 맨체스터,,"1,800,000",0.0%,180,1,1,헝가리,헝가리,
591,셀링 이소벨,2022-06-01,"900,000",0.0%,180,5,18,영국,영국,(주)태양미디어그룹
591,언더 샤크,2022-07-05,"900,000",0.0%,180,5,18,영국,영국,주식회사 루믹스미디어
596,아웃 오브 아프리카,1986-12-24,"998,000",0.0%,178,1,2,미국,미국,
597,우연히 나는 아름다움의 섬광을 보았다,,"1,301,000",0.0%,177,1,2,미국,미국,
598,참을 수 없는 존재의 하찮음,,"1,050,000",0.0%,175,1,2,칠레,칠레,
599,신들의 분노,2022-01-20,"912,000",0.0%,174,6,13,폴란드,폴란드,(주)스튜디오디에이치엘
599,리투아니아 여행의 추억,,"1,216,000",0.0%,174,1,2,영국,"영국,독일",
601,#해시태그,2022-06-01,"2,205,600",0.0%,173,8,49,한국,한국,(주)더존크리에이티브
602,블랙폰,,"1,548,000",0.0%,172,1,1,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
602,보일링 포인트,2022-08-04,"1,972,000",0.0%,172,1,2,영국,영국,(주)이놀미디어
602,폴란드로 간 아이들,2018-10-31,"1,126,000",0.0%,172,1,3,한국,한국,커넥트픽쳐스(주)
605,얼굴들,,"1,177,000",0.0%,169,1,6,미국,미국,
605,철벽선생,2019-03-14,"1,236,000",0.0%,169,5,50,일본,일본,(주)미디어캐슬
607,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,"1,160,000",0.0%,168,1,23,영국,영국,와이드 릴리즈(주)
607,탈옥,,"304,500",0.0%,168,1,10,미국,미국,
609,환상의 빛,2016-07-07,"1,627,000",0.0%,167,2,16,일본,일본,주식회사 씨네룩스
610,그녀에게,2003-04-18,"1,584,000",0.0%,166,3,23,스페인,스페인,"판씨네마(주),(주)미로비젼"
610,나는보리,2020-05-21,"1,252,000",0.0%,166,2,4,한국,한국,(주)영화사 진진
610,바바라,2013-03-21,"942,000",0.0%,166,1,6,독일,독일,"M&M 인터내셔널,(주)영화사 조제"
610,전송가,,"246,000",0.0%,166,1,10,미국,미국,
614,열녀문,,"328,000",0.0%,164,1,16,한국,한국,
614,독일 영년,,"328,000",0.0%,164,1,16,이탈리아,이탈리아,
616,용장 로모로,,"404,000",0.0%,162,1,6,이탈리아,"이탈리아,프랑스",
616,쾌걸 조로,,"324,000",0.0%,162,1,12,미국,미국,
618,노인과 바다,,"370,500",0.0%,161,1,18,미국,미국,
618,영향 아래 있는 여자,,"1,131,000",0.0%,161,1,6,미국,미국,
618,하나 그리고 둘,2000-10-28,"1,410,000",0.0%,161,1,13,대만,"대만,일본",(주)리틀빅픽쳐스
621,SISFF2022 한국단편경쟁 2,,"960,000",0.0%,160,1,2,한국,한국,
621,SISFF2022 한국단편경쟁 5,,"960,000",0.0%,160,1,2,기타,기타,
621,CJ도너스캠프 청소년 문화동아리 SHOWCASE: 방송 부문,,"1,440,000",0.0%,160,1,1,한국,한국,
621,CJ도너스캠프 청소년 문화동아리 SHOWCASE: 공연 부문,,"1,440,000",0.0%,160,1,1,한국,한국,
621,CJ도너스캠프 청소년 문화동아리 SHOWCASE: 영화 부문,,"1,440,000",0.0%,160,1,1,한국,한국,
621,CJ도너스캠프 청소년 문화동아리 SHOWCASE: 음악 부문,,"1,440,000",0.0%,160,1,1,한국,한국,
621,CJ도너스캠프 청소년 문화동아리 SHOWCASE: 요리 부문,,"1,440,000",0.0%,160,1,1,한국,한국,
621,"CJ도너스캠프 청소년 문화동아리 SHOWCASE: 패션,뷰티 부문",,"1,440,000",0.0%,160,1,1,한국,한국,
621,낮과 달,,"1,120,000",0.0%,160,1,1,한국,한국,찬란
621,엘 시드,1971-09-21,"320,000",0.0%,160,1,6,미국,"미국,이탈리아,영국",
631,해운대,2009-07-22,"795,000",0.0%,159,1,3,한국,한국,CJ ENM
631,초원의 빛,1972-03-18,"289,000",0.0%,159,1,12,미국,미국,
631,절해고도,,"924,000",0.0%,159,1,4,한국,한국,보리와 오디 영화사
631,행복의 속도,2021-11-18,"1,118,000",0.0%,159,3,24,한국,한국,(주)영화사 진진
635,사하라,,"316,000",0.0%,158,1,12,미국,미국,
635,김재화 배우전 - 단편모음,,"1,501,500",0.0%,158,6,42,한국,한국,
635,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,"1,225,200",0.0%,158,1,2,일본,일본,(주)박수엔터테인먼트
635,명량,2014-07-30,"790,000",0.0%,158,1,4,한국,한국,(주)씨제이이엔엠
639,그림자들,,"1,085,000",0.0%,157,1,6,미국,미국,
639,모로코 요리사: 타제카,,"157,000",0.0%,157,1,3,프랑스,"프랑스,모로코",
641,하오의 연정,,"312,000",0.0%,156,1,9,미국,미국,
641,시원찮은 그녀를 위한 육성방법 피날레,2020-02-27,"1,169,000",0.0%,156,2,16,일본,일본,(주)애니플러스
641,천사탈주,,"312,000",0.0%,156,1,6,미국,미국,
641,서신교환 4. 호세 루이스 가린-요나스 메카스,,"1,151,000",0.0%,156,1,2,스페인,스페인,
645,행복한 삶의 기록에서 삭제된 부분,,"1,128,000",0.0%,154,1,2,미국,미국,
645,거인,,"308,000",0.0%,154,1,11,미국,미국,
647,레전더리 콘서트: 레너드 번스타인,2021-01-03,"3,281,000",0.0%,153,6,21,독일,독일,(주)케빈앤컴퍼니
648,메기,2019-09-26,"1,536,000",0.0%,152,1,2,한국,한국,"(주)엣나인필름,CGV아트하우스"
648,어떤 휴가,,"304,000",0.0%,152,1,12,미국,미국,
650,카사블랑카,1999-04-03,"302,000",0.0%,151,1,12,미국,미국,
650,삼등과장,,"325,000",0.0%,151,1,14,한국,한국,
650,상류사회,,"246,500",0.0%,151,1,10,미국,미국,
653,바운티 호의 반란,,"403,500",0.0%,150,1,10,미국,미국,
654,대명금의위,2022-04-06,"268,000",0.0%,148,5,118,중국,중국,(유)조이앤시네마
654,어느 가족,2018-07-26,"1,438,000",0.0%,148,1,11,일본,일본,(주)티캐스트
656,타이페이 스토리,2019-11-07,"1,060,500",0.0%,146,2,21,대만,대만,(주)드림팩트엔터테인먼트
656,해바라기,1982-11-14,"837,000",0.0%,146,1,8,이탈리아,이탈리아,
658,현기증,,"319,000",0.0%,144,1,9,미국,미국,(주)영화사 안다미로
658,햄릿,,"298,000",0.0%,144,1,6,영국,영국,
658,뱅드림! 필름 라이브,2019-09-26,"1,315,500",0.0%,144,5,23,일본,일본,(주)애니플러스
658,백야,,"532,500",0.0%,144,1,9,이탈리아,이탈리아,
662,차이니즈 부키의 죽음,,"1,003,000",0.0%,142,1,6,미국,미국,
662,갈채,,"284,000",0.0%,142,1,12,미국,미국,
664,신경쇠약 직전의 여자,1991-06-22,"976,000",0.0%,141,3,13,스페인,스페인,"해피송,(주)홈초이스"
664,이브의 모든 것,,"282,000",0.0%,141,1,18,미국,미국,
664,문라이즈 킹덤,2013-01-31,"1,342,000",0.0%,141,2,17,미국,미국,(주)영화사 진진
667,내 친구의 집은 어디인가,1996-08-17,"962,000",0.0%,140,1,5,이란,이란,
667,브릭스턴 테일,2022-03-22,"700,000",0.0%,140,5,14,영국,영국,(주)드림팩트엔터테인먼트
669,데미트리아스,1977-02-18,"250,000",0.0%,139,1,10,미국,미국,
669,황혼,,"278,000",0.0%,139,1,6,미국,미국,
671,궁지에 몰린 쥐는 치즈 꿈을 꾼다,,"1,060,000",0.0%,138,1,6,일본,일본,(주)미디어캐슬
672,리슨,2021-12-09,"1,010,270",0.0%,137,5,38,영국,영국,워터홀컴퍼니(주)
672,마미,2014-12-18,"1,480,000",0.0%,137,1,9,캐나다,"캐나다,프랑스",(주)엣나인필름
674,더 컨테이젼: 바이러스의 습격,2022-03-30,"256,000",0.0%,136,5,109,중국,중국,(유)조이앤시네마
674,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,"1,042,700",0.0%,136,1,2,한국,한국,"동우에이앤이(주),(주)박수엔터테인먼트"
676,하이힐,1992-06-20,"845,000",0.0%,135,2,19,스페인,스페인,"해피송,(주)홈초이스"
676,카르멘 존스,,"270,000",0.0%,135,1,9,미국,미국,
676,SISFF2022 한국단편경쟁 6,,"810,000",0.0%,135,1,2,한국,한국,
676,오렌지필름 기획전 - 지그재그,,"864,000",0.0%,135,2,5,한국,한국,
676,대전투 1944,2022-04-06,"255,000",0.0%,135,5,106,독일,독일,(유)조이앤시네마
676,황야의 역마차,,"339,000",0.0%,135,1,6,미국,미국,
682,남태평양,1971-08-07,"340,000",0.0%,134,1,6,미국,미국,
682,비리디아나,,"268,000",0.0%,134,1,9,,,
684,밤의 충돌,,"266,000",0.0%,133,1,9,미국,미국,
685,마태복음,2005-09-01,"832,000",0.0%,132,2,5,이탈리아,이탈리아,씨네마오병이어(주)
685,키아로스타미 중단편 모음,,"942,000",0.0%,132,1,3,이란,이란,
687,하나비,1998-12-05,"1,380,000",0.0%,131,1,3,일본,일본,
687,안네의 일기,,"262,000",0.0%,131,1,6,,,
689,유리씨즈,1975-12-27,"279,500",0.0%,130,1,7,이탈리아,이탈리아,
689,아파치 정션 : 무법자의 지대,2022-04-27,"902,900",0.0%,130,14,61,미국,미국,주식회사 모쿠슈라픽쳐스
689,레드슈즈,2019-07-25,"650,000",0.0%,130,1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
692,비밀의 꽃,,"757,000",0.0%,129,2,18,스페인,스페인,"해피송,(주)홈초이스"
692,황금팔을 가진 사나이,,"305,500",0.0%,129,1,17,,,
694,메모리아,,"1,152,000",0.0%,128,1,2,콜롬비아,"콜롬비아,태국,프랑스,독일,멕시코,카타르",
694,노트르담,2021-12-22,"1,077,000",0.0%,128,6,51,프랑스,프랑스,(주)엣나인필름
694,매와 참새,,"823,000",0.0%,128,2,5,이탈리아,이탈리아,
697,아무도 모른다,2005-04-01,"1,312,000",0.0%,127,1,3,일본,일본,"(주)디스테이션,(주)동숭아트센터"
697,알라바마 이야기,,"254,000",0.0%,127,1,10,미국,미국,
699,성적유희의 극한적 경험,2022-03-16,"366,000",0.0%,126,5,69,독일,독일,(유)조이앤시네마
699,리미트,2022-08-17,"1,134,000",0.0%,126,1,1,한국,한국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
701,핑크퐁 시네마 콘서트 : 우주대탐험,2020-01-30,"834,000",0.0%,124,1,3,한국,한국,스마트스터디(주)
701,송해 1927,2021-11-18,"819,000",0.0%,124,12,63,한국,한국,(주)스튜디오디에이치엘
703,극장판 미니특공대: 햄버거괴물의 습격,2020-09-30,"615,000",0.0%,123,2,4,한국,한국,(주)리틀빅픽쳐스
704,성월동화,1999-08-28,"893,000",0.0%,122,1,17,중국,중국,(주)영화사오원
705,은혼,2017-12-07,"901,000",0.0%,120,5,42,일본,일본,(주)라이크콘텐츠
705,보헤미안의 생,,"823,000",0.0%,120,1,4,핀란드,핀란드,
705,허슬러,,"272,500",0.0%,120,1,16,,,
708,테이블 매너,2022-03-15,"666,000",0.0%,119,3,31,한국,한국,주식회사 씨엠닉스
708,2021 스토리업 선정작 상영회 섹션2,,"1,428,000",0.0%,119,1,1,한국,한국,
708,도쿄 소나타,2009-03-19,"1,210,000",0.0%,119,1,4,일본,"일본,홍콩,네덜란드",(주)스폰지이엔티
708,2021 스토리업 선정작 상영회 섹션1,,"1,428,000",0.0%,119,1,1,한국,한국,
712,오셀로,,"435,500",0.0%,118,1,6,미국,미국,
712,남쪽,,"783,000",0.0%,118,1,2,스페인,"스페인,프랑스",
714,선셋 대로,,"234,000",0.0%,117,1,6,미국,미국,
714,자유 결혼,1958-10-14,"285,000",0.0%,117,1,14,한국,한국,
714,어둠은 걷히고,,"849,000",0.0%,117,1,4,핀란드,핀란드,
714,천국의 그림자,,"810,000",0.0%,117,1,4,핀란드,핀란드,
714,썬다운,,"1,097,000",0.0%,117,1,3,프랑스,프랑스,M&M 인터내셔널
719,파멸,,"776,000",0.0%,116,1,2,헝가리,헝가리,
720,트랜짓,2020-07-02,"770,000",0.0%,115,1,8,독일,독일,M&M 인터내셔널
720,싸나희 순정,2021-11-25,"795,000",0.0%,115,4,34,한국,한국,(주)마노엔터테인먼트
722,메이드인세운상가,2022-05-25,"1,164,000",0.0%,114,9,43,한국,한국,(주)더존크리에이티브
722,일 부코,,"814,000",0.0%,114,1,2,이탈리아,"이탈리아,독일,프랑스",
722,약속,,"114,000",0.0%,114,1,28,한국,한국,주식회사 씨엠닉스
722,"월든 (일기, 노트, 스케치)",,"828,000",0.0%,114,1,2,미국,미국,
722,프리 가이,2021-08-11,"1,482,000",0.0%,114,1,1,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
727,희망의 건너편,,"818,000",0.0%,113,1,2,핀란드,"핀란드,독일",
727,물망초,,"226,000",0.0%,113,1,9,한국,한국,
727,군도: 민란의 시대,2014-07-23,"1,356,000",0.0%,113,1,1,한국,한국,(주)쇼박스
727,오징어 노동조합,,"789,000",0.0%,113,1,4,핀란드,핀란드,
731,오니바바,,"748,000",0.0%,111,1,2,일본,일본,
731,기인들,,"277,500",0.0%,111,1,6,미국,미국,
