순위,관광지명,주소,분류,lat,lng
67,천제연폭포,제주 서귀포시 천제연로 132-0,자연관광,33.2526754970693,126.418374242413
68,세계자동차&피아노박물관,제주 서귀포시 중산간서로 1610-0,문화시설,33.282942376127,126.349010409791
69,외돌개,제주 서귀포시,기타관광지,33.2540646255037,126.559563466911
70,건강과성박물관,제주 서귀포시 일주서로 1611-0,문화시설,33.2548469661363,126.346583683696
71,군산오름,제주 서귀포시,자연관광지,33.2540646255037,126.559563466911
72,운진항,제주 서귀포시 최남단해안로 0-0,자연관광지,,
73,마라도가파도정기여객선,제주 서귀포시 최남단해안로 120-0,자연관광지,33.2100650813269,126.258379774648
74,뽀로로&타요테마파크/제주,제주 서귀포시 병악로 269-0,휴양관광지,33.3004429637305,126.370810904853
75,오조포구,제주 서귀포시,자연관광지,33.2540646255037,126.559563466911
76,파더스가든,제주 서귀포시 병악로 44-33,기타관광지,33.2801251066367,126.364747119848
77,새연교,제주 서귀포시,기타관광지,33.2540646255037,126.559563466911
78,서귀포향토오일시장,제주 서귀포시 토평서로11번길 142-0,쇼핑,33.2677894929182,126.573741943432
79,소인국테마파크,제주 서귀포시 중산간서로 1878-0,기타관광지,33.2906452180407,126.322194755069
80,제주실탄사격장,제주 서귀포시 소보리당로164번길 62-0,레포츠(육상/해상/항공),33.2636756453599,126.385571236937
81,엉또폭포,제주 서귀포시,자연관광지,33.2540646255037,126.559563466911
82,제스토리,제주 서귀포시 막숙포로 60-0,쇼핑,33.236084677694,126.514923192083
83,액트몬/제주중문점,제주 서귀포시 중문관광로 205-0,휴양관광지,33.2438863976063,126.421662385093
84,표선해수욕장,제주 서귀포시,자연관광,33.2540646255037,126.559563466911
85,녹산로유채꽃도로,제주 서귀포시,기타관광지,33.2540646255037,126.559563466911
86,낙타트래킹,제주 서귀포시 번영로 2564-21,레포츠(육상/해상/항공),33.4026984441641,126.778645672817
87,빛의벙커,제주 서귀포시,문화관광,33.2540646255037,126.559563466911
88,1100고지 코스,제주 서귀포시,기타관광지,33.2540646255037,126.559563466911
89,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,기타관광,33.4729279933634,126.934506143367
90,선녀탕,제주 서귀포시,기타관광지,33.2540646255037,126.559563466911
91,테디베어뮤지엄/제주,제주 서귀포시 중문관광로110번길 31-0,문화시설,33.2503032288029,126.412158843979
92,붉은오름자연휴양림,제주 서귀포시 남조로 1487-73,자연관광지,33.4014287623403,126.675670597493
93,서귀포잠수함,제주 서귀포시 남성중로 40-0,기타관광지,33.2392011725071,126.558423865174
94,윈드1947카트테마파크,제주 서귀포시 토평공단로 78-27,레저스포츠,33.2895183041826,126.588828203157
95,제주제트/중문점,제주 서귀포시 대포로 172-5,레포츠(육상/해상/항공),33.2384248440952,126.439453588153
96,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,33.4134956403949,126.752494805945
97,화순금모래해변,제주 서귀포시,자연관광지,33.2540646255037,126.559563466911
98,마라도가는여객선,제주 서귀포시 송악관광로 424-0,자연관광지,33.2073984039179,126.290519780508
99,신화테마파크,제주 서귀포시 신화역사로304번길 98-0,휴양관광지,33.3065311964764,126.307543154776
100,안덕계곡,제주 서귀포시,자연관광지,33.2540646255037,126.559563466911
