연도,시군구별,연료별,용도별,승용,승합,화물,특수,계
2015,성북구,엘피지,비사업용,7827,1181,1230,2,10240
2015,성북구,엘피지,사업용,2565,0,391,0,2956
2015,성북구,전기,비사업용,14,0,0,0,14
2015,성북구,하이브리드(LPG+전기),비사업용,80,0,0,0,80
2015,성북구,하이브리드(휘발유+전기),비사업용,982,0,0,0,982
2015,성북구,하이브리드(휘발유+전기),사업용,1,0,0,0,1
2015,성북구,휘발유,비사업용,24870,14,31,0,24915
2015,성북구,휘발유,사업용,8,0,0,0,8
2015,성북구,휘발유(무연),비사업용,35318,28,21,0,35367
2015,성북구,휘발유(무연),사업용,8,0,0,0,8
2015,강북구,CNG,비사업용,15,1,14,0,30
2015,강북구,CNG,사업용,2,690,1,0,693
2015,강북구,경유,비사업용,16213,2844,7085,49,26191
2015,강북구,경유,사업용,12,84,946,73,1115
2015,강북구,기타연료,비사업용,1,8,33,1,43
2015,강북구,엘피지,비사업용,6222,1089,1080,1,8392
2015,강북구,엘피지,사업용,2662,0,302,0,2964
2015,강북구,전기,비사업용,9,0,0,0,9
2015,강북구,전기,사업용,2,0,0,0,2
2015,강북구,하이브리드(LPG+전기),비사업용,50,0,0,0,50
2015,강북구,하이브리드(휘발유+전기),비사업용,442,0,0,0,442
2015,강북구,하이브리드(휘발유+전기),사업용,1,0,0,0,1
2015,강북구,휘발유,비사업용,13555,9,19,0,13583
2015,강북구,휘발유,사업용,20,0,0,0,20
2015,강북구,휘발유(무연),비사업용,22152,19,7,0,22178
2015,강북구,휘발유(무연),사업용,47,0,0,0,47
2015,도봉구,CNG,비사업용,15,3,10,0,28
2015,도봉구,CNG,사업용,10,350,0,0,360
2015,도봉구,경유,비사업용,20282,3073,8013,47,31415
2015,도봉구,경유,사업용,52,92,1339,135,1618
2015,도봉구,기타연료,비사업용,4,17,53,1,75
2015,도봉구,기타연료,사업용,0,0,6,0,6
2015,도봉구,엘피지,비사업용,7095,1087,1167,0,9349
2015,도봉구,엘피지,사업용,5274,0,382,0,5656
2015,도봉구,전기,비사업용,9,0,0,0,9
2015,도봉구,전기,사업용,5,0,0,0,5
2015,도봉구,하이브리드(CNG+전기),사업용,0,5,0,0,5
2015,도봉구,하이브리드(LPG+전기),비사업용,99,0,0,0,99
