iter	Passed	Remaining
239	3221	10202
240	3242	10212
241	3257	10204
242	3273	10196
243	3287	10185
244	3300	10169
245	3313	10154
246	3325	10137
247	3337	10121
248	3350	10105
249	3361	10085
250	3374	10069
251	3388	10058
252	3402	10044
253	3414	10029
254	3426	10010
255	3438	9993
256	3454	9987
257	3467	9972
258	3479	9954
259	3491	9937
260	3504	9921
261	3517	9907
262	3529	9889
263	3540	9870
264	3554	9859
265	3568	9847
266	3583	9836
267	3597	9825
268	3609	9808
269	3621	9792
270	3634	9776
271	3647	9761
272	3659	9746
273	3672	9731
274	3689	9727
275	3703	9714
276	3718	9704
277	3731	9690
278	3743	9675
279	3755	9658
280	3769	9644
281	3780	9626
282	3793	9611
283	3805	9594
284	3817	9576
285	3830	9563
286	3843	9548
287	3855	9531
288	3869	9519
289	3882	9506
290	3896	9492
291	3908	9476
292	3921	9461
293	3933	9446
294	3945	9430
295	3957	9413
296	3969	9396
297	3982	9380
298	3994	9364
299	4006	9347
300	4016	9328
301	4029	9312
302	4042	9298
303	4054	9282
304	4065	9264
305	4079	9251
306	4092	9238
307	4104	9222
308	4115	9203
309	4128	9189
310	4140	9174
311	4153	9157
312	4164	9139
313	4176	9124
314	4190	9112
315	4203	9098
316	4215	9083
317	4230	9072
318	4244	9061
319	4260	9053
320	4277	9047
321	4292	9038
322	4306	9025
323	4320	9015
324	4334	9001
325	4348	8990
326	4363	8981
327	4378	8971
328	4393	8961
329	4407	8948
330	4420	8935
331	4431	8916
332	4443	8899
333	4454	8883
334	4465	8864
335	4477	8847
336	4490	8833
337	4503	8819
338	4514	8803
339	4526	8785
340	4538	8771
341	4550	8755
342	4563	8740
343	4576	8726
344	4587	8709
345	4599	8693
346	4610	8675
347	4621	8658
348	4633	8642
349	4644	8625
350	4656	8609
351	4669	8595
352	4682	8582
353	4698	8574
354	4711	8560
355	4725	8547
356	4738	8533
357	4750	8518
358	4761	8502
359	4773	8485
360	4785	8470
361	4796	8454
362	4807	8436
363	4818	8419
364	4829	8402
365	4840	8385
366	4851	8368
367	4862	8351
368	4873	8334
369	4885	8318
370	4897	8304
371	4910	8289
372	4922	8274
373	4935	8260
374	4947	8245
375	4959	8230
376	4969	8212
377	4981	8196
378	4992	8180
379	5003	8163
380	5014	8147
381	5026	8131
382	5036	8113
383	5047	8097
384	5059	8082
385	5071	8067
386	5099	8077
387	5111	8062
388	5123	8047
389	5135	8032
390	5147	8017
391	5161	8006
392	5176	7994
393	5188	7980
394	5200	7965
395	5214	7953
396	5227	7939
397	5239	7925
398	5250	7908
399	5262	7894
400	5275	7880
401	5286	7863
402	5297	7847
403	5308	7831
404	5318	7814
405	5329	7797
406	5341	7782
407	5354	7769
408	5365	7752
409	5376	7737
410	5388	7721
411	5398	7704
412	5409	7689
413	5422	7675
414	5433	7659
415	5444	7643
416	5456	7628
417	5466	7611
418	5483	7604
419	5495	7588
420	5507	7573
421	5517	7557
422	5527	7540
423	5538	7523
424	5549	7507
425	5561	7493
426	5573	7479
427	5585	7464
428	5599	7452
429	5610	7437
430	5625	7426
431	5637	7412
432	5648	7397
433	5659	7381
434	5671	7366
435	5683	7352
436	5696	7338
437	5708	7324
438	5724	7314
439	5735	7300
440	5747	7285
441	5759	7270
442	5772	7258
443	5784	7244
444	5796	7229
445	5807	7214
446	5821	7201
447	5832	7185
448	5842	7170
449	5853	7154
450	5864	7139
451	5876	7124
452	5887	7109
453	5898	7094
454	5910	7079
455	5921	7064
456	5934	7051
457	5946	7037
458	5960	7024
459	5973	7011
460	5985	6997
461	5997	6984
462	6010	6971
463	6021	6955
464	6033	6941
465	6043	6925
466	6054	6910
467	6065	6895
468	6076	6879
469	6086	6863
470	6097	6848
471	6108	6832
472	6118	6817
473	6129	6802
474	6140	6787
475	6151	6771
476	6161	6755
477	6171	6740
478	6183	6726
479	6196	6712
480	6208	6698
481	6218	6683
482	6229	6668
483	6240	6653
484	6251	6638
485	6262	6622
486	6273	6608
487	6284	6593
488	6294	6578
489	6306	6563
490	6316	6547
491	6327	6533
492	6339	6519
493	6348	6502
494	6359	6487
495	6369	6472
496	6381	6458
497	6392	6443
498	6402	6428
499	6414	6414
500	6426	6401
501	6437	6386
502	6448	6371
503	6459	6357
504	6470	6342
505	6480	6327
506	6491	6312
507	6501	6297
508	6513	6282
509	6523	6267
510	6534	6253
511	6544	6237
512	6555	6222
513	6565	6208
514	6576	6193
515	6586	6178
516	6596	6163
517	6609	6149
518	6621	6136
519	6631	6121
520	6642	6106
521	6652	6092
522	6662	6076
523	6673	6062
524	6683	6047
525	6694	6032
526	6704	6017
527	6714	6002
528	6725	5988
529	6736	5973
530	6746	5958
531	6756	5943
532	6767	5929
533	6777	5914
534	6787	5899
535	6798	5885
536	6808	5870
537	6819	5856
538	6830	5842
539	6841	5827
540	6852	5814
541	6864	5800
542	6875	5786
543	6885	5771
544	6896	5757
545	6907	5743
546	6919	5730
547	6930	5716
548	6941	5702
549	6953	5688
550	6964	5675
551	7053	5724
552	7066	5711
553	7090	5708
554	7108	5699
555	7121	5686
556	7132	5672
557	7143	5658
558	7156	5645
559	7168	5632
560	7181	5619
561	7192	5605
562	7203	5591
563	7215	5577
564	7227	5564
565	7239	5551
566	7250	5537
567	7262	5523
568	7275	5510
569	7287	5497
570	7300	5485
571	7312	5471
572	7324	5457
573	7337	5445
574	7348	5431
575	7362	5419
576	7374	5406
577	7387	5393
578	7399	5380
579	7411	5367
580	7424	5354
581	7435	5340
582	7445	5325
583	7458	5312
584	7471	5300
585	7483	5286
586	7496	5274
587	7509	5261
588	7520	5247
589	7531	5233
590	7544	5220
591	7556	5208
592	7567	5194
593	7578	5179
594	7590	5166
595	7604	5154
596	7615	5141
597	7628	5128
598	7641	5115
599	7653	5102
600	7664	5088
601	7675	5074
602	7687	5061
603	7700	5048
604	7715	5037
605	7728	5024
606	7742	5012
607	7754	4999
608	7765	4985
609	7778	4973
610	7790	4959
611	7801	4946
612	7813	4932
613	7824	4919
614	7836	4906
615	7850	4894
616	7862	4880
617	7874	4867
618	7888	4855
619	7901	4843
620	7915	4830
621	7928	4818
622	7939	4804
623	7950	4790
624	7961	4776
625	7971	4762
626	7983	4749
627	7993	4735
628	8004	4721
629	8015	4707
630	8026	4693
631	8037	4680
632	8050	4667
633	8060	4653
634	8071	4639
635	8083	4626
636	8094	4612
637	8104	4598
638	8120	4587
639	8131	4574
640	8143	4560
641	8154	4547
642	8165	4533
643	8176	4520
644	8187	4506
645	8198	4492
646	8210	4479
647	8221	4465
648	8231	4452
649	8243	4438
650	8253	4424
651	8264	4411
652	8274	4397
653	8285	4383
654	8296	4369
655	8307	4356
656	8318	4342
657	8331	4330
658	8342	4316
659	8352	4302
660	8363	4289
661	8375	4276
662	8388	4263
663	8399	4250
664	8410	4237
665	8425	4225
666	8437	4212
667	8448	4199
668	8459	4185
669	8470	4172
670	8481	4158
671	8492	4145
672	8504	4131
673	8515	4118
674	8526	4105
675	8538	4092
676	8550	4079
677	8562	4066
678	8575	4054
679	8588	4041
680	8600	4028
681	8611	4015
682	8623	4002
683	8634	3989
684	8646	3976
685	8657	3962
686	8669	3949
687	8683	3937
688	8695	3924
689	8706	3911
690	8718	3898
691	8731	3886
692	8745	3874
693	8757	3861
694	8769	3848
695	8780	3835
696	8791	3821
697	8801	3808
698	8812	3794
699	8822	3781
700	8833	3767
701	8844	3754
702	8855	3741
703	8865	3727
704	8876	3714
705	8887	3700
706	8897	3687
707	8908	3674
708	8920	3661
709	8933	3648
710	8946	3636
711	8958	3623
712	8969	3610
713	8981	3597
714	8992	3584
715	9005	3571
716	9021	3560
717	9038	3549
718	9057	3539
719	9084	3532
720	9096	3520
721	9108	3506
722	9119	3493
723	9131	3481
724	9144	3468
725	9155	3455
726	9167	3442
727	9179	3429
728	9190	3416
729	9200	3403
730	9212	3389
731	9223	3376
732	9234	3363
733	9245	3350
734	9256	3337
735	9268	3324
736	9278	3311
737	9289	3297
738	9298	3284
739	9308	3270
740	9319	3257
741	9330	3244
742	9341	3231
743	9352	3218
744	9363	3204
745	9376	3192
746	9389	3180
747	9401	3167
748	9412	3154
749	9426	3142
750	9438	3129
751	9450	3116
752	9462	3103
753	9473	3090
754	9484	3077
755	9494	3064
756	9505	3051
757	9517	3038
758	9527	3025
759	9538	3012
760	9549	2999
761	9561	2986
762	9573	2973
763	9585	2961
764	9596	2948
765	9607	2934
766	9618	2921
767	9629	2908
768	9639	2895
769	9651	2882
770	9662	2869
771	9673	2857
772	9686	2844
773	9696	2831
774	9708	2818
775	9722	2806
776	9738	2794
777	9750	2782
778	9762	2769
779	9774	2757
780	9788	2744
781	9801	2732
782	9813	2719
783	9823	2706
784	9835	2693
785	9847	2681
786	9859	2668
787	9872	2655
788	9883	2643
789	9895	2630
790	9906	2617
791	9918	2604
792	9930	2592
793	9941	2579
794	9952	2566
795	9965	2553
796	9977	2541
797	9991	2529
798	10005	2517
799	10019	2504
800	10034	2492
801	10050	2481
802	10063	2468
803	10075	2456
804	10087	2443
805	10100	2431
806	10112	2418
807	10124	2405
808	10135	2393
809	10147	2380
810	10160	2367
811	10172	2355
812	10185	2342
813	10199	2330
814	10215	2318
815	10229	2306
816	10241	2293
817	10252	2281
818	10263	2268
819	10275	2255
820	10287	2242
821	10297	2229
822	10309	2217
823	10321	2204
824	10332	2191
825	10343	2178
826	10354	2166
827	10365	2153
828	10378	2140
829	10389	2128
830	10401	2115
831	10414	2102
832	10428	2090
833	10444	2078
834	10456	2066
835	10468	2053
836	10479	2040
837	10493	2028
838	10505	2015
839	10517	2003
840	10529	1990
841	10543	1978
842	10556	1966
843	10569	1953
844	10582	1941
845	10595	1928
846	10608	1916
847	10620	1903
848	10632	1891
849	10645	1878
850	10659	1866
851	10674	1854
852	10689	1842
853	10703	1829
854	10716	1817
855	10727	1804
856	10741	1792
857	10755	1780
858	10768	1767
859	10781	1755
860	10792	1742
861	10806	1730
862	10820	1717
863	10832	1705
864	10847	1692
865	10862	1680
866	10875	1668
867	10888	1655
868	10903	1643
869	10919	1631
870	10933	1619
871	10944	1606
872	10957	1594
873	10969	1581
874	10982	1568
875	10994	1556
876	11008	1543
877	11023	1531
878	11037	1519
879	11050	1506
880	11063	1494
881	11080	1482
882	11095	1470
883	11107	1457
884	11120	1445
885	11132	1432
886	11145	1419
887	11156	1407
888	11169	1394
889	11183	1382
890	11197	1369
891	11211	1357
892	11226	1345
893	11238	1332
894	11252	1320
895	11269	1308
896	11284	1295
897	11300	1283
898	11316	1271
899	11332	1259
900	11343	1246
901	11356	1233
902	11368	1221
903	11381	1208
904	11395	1196
905	11408	1183
906	11419	1170
907	11436	1158
908	11450	1146
909	11463	1133
910	11475	1121
911	11490	1108
912	11504	1096
913	11519	1083
914	11533	1071
915	11548	1059
916	11562	1046
917	11576	1034
918	11589	1021
919	11603	1009
920	11615	996
921	11628	983
922	11643	971
923	11655	958
924	11668	946
925	11683	933
926	11698	921
927	11714	908
928	11726	896
929	11740	883
930	11754	871
931	11767	858
932	11780	845
933	11791	833
934	11803	820
935	11816	807
936	11829	795
937	11843	782
938	11856	770
939	11871	757
940	11884	745
941	11898	732
942	11910	719
943	11923	707
944	11935	694
945	11947	681
946	11958	669
947	11972	656
948	11984	644
949	11996	631
950	12007	618
951	12019	606
952	12032	593
953	12045	580
954	12058	568
955	12071	555
956	12084	542
957	12097	530
958	12110	517
959	12138	505
960	12151	493
961	12163	480
962	12174	467
963	12186	455
964	12198	442
965	12210	429
966	12222	417
967	12236	404
968	12248	391
969	12262	379
970	12275	366
971	12288	353
972	12302	341
973	12315	328
974	12328	316
975	12344	303
976	12356	290
977	12368	278
978	12381	265
979	12394	252
980	12408	240
981	12418	227
982	12430	214
983	12442	202
984	12454	189
985	12465	176
986	12477	164
987	12489	151
988	12500	139
989	12512	126
990	12524	113
991	12536	101
992	12550	88
993	12568	75
994	12582	63
995	12598	50
996	12612	37
997	12626	25
998	12638	12
999	12651	0
